Conc. Reactivo,Conc. Titulante,pH_estimado
2.0,-0.8633,7.826092668264222
2.0,-0.48774999999999996,3.761941443599793
2.0,-0.11219999999999997,4.311593959605808
2.0,0.26335,9.0
2.0,0.6389,9.0
4.0,-0.8633,3.0
4.0,-0.48774999999999996,3.0
4.0,-0.11219999999999997,4.369708071678886
4.0,0.26335,9.0
4.0,0.6389,9.0
6.0,-0.8633,3.0
6.0,-0.48774999999999996,3.8590301024855904
6.0,-0.11219999999999997,4.940426720012475
6.0,0.26335,7.562115741850869
6.0,0.6389,9.0
8.0,-0.8633,5.212101801677284
8.0,-0.48774999999999996,5.471332392970309
8.0,-0.11219999999999997,5.299443842405679
8.0,0.26335,5.7313319167353
8.0,0.6389,6.612637438249715
10.0,-0.8633,3.0
10.0,-0.48774999999999996,3.7156642048719166
10.0,-0.11219999999999997,4.789629441105777
10.0,0.26335,6.765751196925305
10.0,0.6389,8.9998998019378
